Gene_Symbol,disease_association,essential_gene,loss_of_function_tolerance,loss_of_function_constraint,observed_expected_lof_ratio,rvis_score,gwas_associations,protein_protein_interactions,chemical_gene_interactions,drug_interaction_types,known_antibodies,antibody,antibody_availability,small_molecule,tractable_modalities,overall_therapeutic_potential,functional_characterization,protein_domains,protein_length,expression_tissue_specificity,expression_specificity,expression_broadly_expressed,alternative_splicing
LRGUK,0.5,,0.0,,0.69,,,,0.7,,0.9,,,,,,,,0.8,1.0,,,
LRIF1,,,0.0,,0.4,,,,0.8,,0.9,,,,0.9,,,,0.5,,,,
LRIG1,,,0.04,,0.26,,0.7,0.6,0.9,,0.8,,,,0.7,,,,0.5,,,0.6,
LRIG2,0.7,,0.0,,,,,,,,,,0.9,,0.8,,,,,,0.64,,0.5
LRIG3,,,0.8,,,,0.7,,,,,,0.9,,0.8,0.75,,,,,0.7,,
LRIT1,,,0.0,,0.5,,,,0.6,,0.8,,,,0.7,,,,0.6,,,,
LRIT2,,,0.0,,0.5,,0.5,,0.6,,0.8,,,,0.8,0.7,,,0.6,0.97,,,
LRIT3,0.7,,0.0,,0.96,,,,0.6,,0.9,,,,0.8,,,,0.8,0.65,,,
LRMDA,0.8,,0.1,,,,,,,,,,0.5,,,,,,,,0.9,,0.4
LRP1,,,,,,,,,,,,0.8,,0.6,,,,,,,,,
LRP10,0.8,,0.0,,0.59,,,,0.67,,,,0.84,,0.75,0.7,,,0.5,,,,
LRP11,,,0.0,,0.4,,,,0.8,,0.9,,,,0.8,0.6,,0.7,0.5,,,0.6,
LRP12,,,,1.0,0.89,0.82,0.5,,0.8,,0.9,,,,0.7,,,,0.75,,,0.6,
LRP1B,,0.8,,0.6,0.3,,0.9,,0.6,,0.7,,,,0.7,,,0.8,0.5,0.9,,,
LRP2,,1.0,,1.0,0.19,,0.7,0.3,0.5,,0.6,,,,,,,,,,,,
LRP2BP,,,0.0,,0.59,,,0.4,0.7,,0.9,,,,,0.65,,,0.6,,,,
LRP3,,,0.0,,0.47,,,,0.7,,0.8,,,,0.9,0.65,,,0.5,,,,
LRP4,,,,,,,,,,,,0.8,,,,,,,,,,,
LRP5,,,,,,,,,,,,0.8,,,,,,,,,,,
LRP5L,,,0.0,,0.5,,,,0.6,,0.9,,,,,,,,0.5,0.75,,,
LRP6,,,,,,,,,,,,0.8,,0.6,,,,,,,,,
LRP8,0.8,,,1.0,0.9,,,,,,,,0.9,,,,,,0.7,,0.91,,0.7
LRPAP1,,1.0,0.0,,0.71,,0.9,0.5,0.6,,0.7,,,,0.7,,,,,,,0.5,
LRPPRC,,,0.0,,,,0.8,,0.6,,,,0.7,,,,,,,,0.5,,
LRR1,,,,,,,,,,,,,,,,,,,,,,,
LRRC1,,,,,,,,,,,,,,,,,,,,,,,
LRRC10,,,0.42,,0.19,,,0.71,0.83,,0.84,,,,,,,,0.77,1.0,,,
LRRC10B,,,0.0,,0.0,,,,0.7,,0.9,,,,,,,,0.8,,,,
LRRC14,,,0.0,,,,0.8,,,,,,0.9,,0.75,,,,0.5,,,0.6,
LRRC14B,,,0.0,,0.5,,,,0.7,,0.8,,,,0.9,,,,0.6,,,,
LRRC15,,,0.0,,0.9,,0.5,0.7,0.6,,0.9,,,,,0.8,,0.8,0.7,0.92,,,
LRRC17,,,,,,,,,,,,,,,,,,,,,,,
LRRC18,,,0.0,,0.7,,0.6,,0.7,,0.8,,,,,0.75,,,0.5,1.0,,,
LRRC19,,,0.0,,0.8,,,,0.6,,0.9,,,,0.8,0.85,,,0.7,1.0,,,
LRRC2,,,0.0,,,,0.8,,,,,,0.9,,,,,,0.5,,0.96,,
LRRC20,,,,,,,,,,,,,,,,,,,,,,,
LRRC23,,,0.0,,0.79,,,,0.7,,0.9,,,,,,,,0.5,0.75,,,
LRRC24,,,0.0,,0.44,,,,0.6,,0.8,,,,0.7,,,,0.5,,,,
LRRC25,,,,,,,,,,,,0.8,,,,,,,,,,,
LRRC26,,,,,,,,,,,,0.9,,0.7,,,,,,,,,
LRRC27,,,,,,,,,,,,,,,,,,,,,,,
LRRC28,,,0.0,,0.9,,0.2,0.5,0.6,,0.8,,,,0.8,,,,0.5,,,0.6,
LRRC3,,,0.0,,0.8,,,,0.6,,0.9,,,,0.7,0.65,,,0.5,0.79,,,
LRRC30,,,0.0,,0.6,,,,0.6,,0.7,,,,,0.6,,,0.5,,,,
LRRC31,,,,,,,,,,,,,,,,,,,,,,,
LRRC32,,,0.0,,0.45,,0.7,0.7,0.8,,0.9,,,,0.8,,,,0.6,,,,
LRRC34,,,0.0,,0.64,,0.8,,0.7,,0.9,,,,0.7,,,,0.8,0.81,,,
LRRC36,,,0.0,,0.64,,0.4,0.5,0.6,,0.75,,,,0.9,,,,0.8,1.0,,,
LRRC37A,,,0.05,,0.36,,,,0.7,,0.85,,,,0.8,0.7,,,0.8,,,0.6,
LRRC37A2,,,0.0,,0.0,,,,0.6,,0.8,,,,0.8,,,0.7,0.5,0.6,,,
LRRC37A3,,,0.0,,0.55,,,,0.7,,0.9,,,,0.8,0.7,,0.6,0.8,,,,
LRRC37A5P,,,0.0,,0.0,,,,0.5,,,,,,,0.1,,,0.5,,,0.0,
LRRC37B,,,0.04,,0.27,0.84,0.1,,0.5,,0.71,,,,0.6,0.55,,,0.95,0.75,,,
LRRC38,,,1.0,,1.0,,,,0.7,,0.9,,,,0.8,,,0.8,0.8,1.0,,,
LRRC39,,,0.0,,0.47,0.8,,0.6,0.7,,0.9,,,,,0.75,,,0.5,0.99,,,
LRRC3B,,,0.47,,0.18,,,0.1,0.8,,0.7,,,,0.8,,,0.75,0.51,,,,
LRRC3C,,,0.0,,0.0,,,,0.6,,0.8,,,,0.8,,,,0.5,,,,
LRRC4,,,,1.0,0.0,,,0.85,0.9,,0.7,,,,0.8,,,,0.8,,,,
LRRC40,,,0.0,,0.5,,,0.2,0.8,,0.9,,,,0.9,0.6,,0.6,0.7,,,0.5,
LRRC41,,,,1.0,0.8,,,,0.75,,0.85,,,,0.6,,,,0.7,,,0.6,
LRRC42,,,0.0,,0.72,,,0.6,0.9,,0.93,,,,0.8,0.65,,,0.85,,,,
LRRC43,,,0.0,,0.85,,0.1,,0.5,,0.8,,,,,,,,0.65,,,,
LRRC45,,,0.0,,0.56,,,0.2,0.7,,0.9,,,,0.5,,,0.6,0.7,0.69,,,
LRRC46,,,0.0,,0.49,,,0.7,0.6,,0.9,,,,0.8,0.7,,,0.5,,,,
LRRC47,,,,,,,,,,,,,,0.7,,,,,,,,,
LRRC49,,,0.0,,0.38,0.7,,0.5,0.6,,0.8,,,,0.9,,,0.9,0.5,0.72,,,
LRRC4B,,,,,,,,,,,,0.8,,0.6,,,,,,,,,
LRRC4C,,,,,,,,,,,,0.8,,0.5,,,,,,,,,
LRRC52,,,0.0,,0.94,,,0.75,0.7,,0.9,,,,0.8,,,,0.6,1.0,,,
LRRC53,,,0.0,,0.0,,,,0.5,,0.6,,,,0.7,,,,0.7,,,,
LRRC55,,,0.04,,0.38,0.8,,0.85,0.7,,0.9,,,,0.8,0.82,0.9,,0.75,0.89,,,
LRRC56,0.8,,0.0,,,,,,,,,,0.9,,,,0.85,,,,,,
LRRC57,,,0.0,,0.57,,,0.6,0.7,,0.9,,,,0.9,0.7,,,0.5,,,0.6,
LRRC58,,,0.0,,0.46,,,,0.6,,0.8,,,,0.9,0.65,,0.7,0.5,,,0.6,
LRRC59,,,,,,,,,,,,0.9,,,,,,,,,,,
LRRC61,,,0.0,,0.69,,0.1,0.7,0.8,,0.9,,,,0.6,,,,0.5,0.7,,,
LRRC63,,,0.0,,0.0,,,,0.6,,,,,,,0.5,,,0.5,0.9,,,
LRRC66,,,0.0,,0.6,,,,0.6,,0.8,,,,0.9,,,,0.5,,,,
LRRC69,,,,,,,,,,,,1.0,,,,,,,,,,,
LRRC7,,,,1.0,0.93,,0.6,,0.75,,0.9,,,,,0.82,,0.85,0.7,0.88,,,
LRRC70,,,1.0,,1.0,,,,0.7,,0.9,,,,0.8,,,0.8,0.8,0.9,,,
LRRC71,,,,,,,,,,,,,,,,,,,,,,,
LRRC72,,,0.0,,0.0,,,,0.6,,0.9,,,,,,,0.7,0.8,1.0,,,
LRRC73,,,0.95,,0.65,,,0.55,0.71,,0.58,,,,0.8,0.67,,,0.79,,,,
LRRC74A,,,0.0,,0.0,,,0.5,0.6,,0.8,,,,,0.4,,,0.5,,,,
LRRC74B,,,,,,,,,,,,,,,,,,,,,,,
LRRC75A,,,0.0,,,,,,,,,,0.9,,,,,,0.5,,,,
LRRC75B,,,0.0,,0.0,,,,0.6,,0.9,,,,,,,,0.5,,,,
LRRC8A,0.9,,,,,,,,,,,,,,,,0.85,,,,,,
LRRC8B,,,,1.0,0.8,,,0.75,0.6,,0.85,,,,0.8,,0.9,,0.7,,,,
LRRC8C,,,,,,,,,,,,0.8,,,,,,,,,,,
LRRC8D,,,,0.98,0.12,,,0.1,0.73,,0.66,,,,,0.78,,,0.75,0.75,,,
LRRC8E,,,,,,,,,,,,0.9,,,,,,,,,,,
LRRC9,,,1.0,,1.0,,,,0.6,,0.8,,,,0.7,,,0.9,0.8,1.0,,,
LRRCC1,,,0.0,,0.74,,,0.85,0.7,,0.9,,,,0.6,,,0.75,0.8,,,,
LRRD1,,,0.0,,0.58,,,,0.5,,,,,,,0.65,,,0.75,1.0,,,
LRRFIP1,,,0.8,,,,,,,,,,0.9,,0.8,0.75,,,,,0.7,,
LRRFIP2,,,0.0,,0.76,,,,0.7,,0.9,,,,0.7,,,,0.5,,,,
LRRIQ1,,,0.0,,,,0.5,0.7,,,,,0.8,,,,,,,,,,
LRRIQ3,,,,,,,,,,,,1.0,,0.5,,,,,,,,,
LRRIQ4,,,0.0,,0.71,,0.2,,0.6,,0.8,,,,,,,,0.5,1.0,,,
LRRK1,,,0.0,,,,0.8,,,,,,0.9,,0.8,0.75,,,,,0.76,,
LRRK2,,1.0,0.0,,0.52,,0.9,0.5,0.8,0.9,0.85,,,,,,0.9,,,0.76,,,
LRRN1,,,,0.97,0.1,,0.5,0.6,0.7,,0.9,,,,0.8,,,,0.75,0.82,,,
LRRN2,,,,0.63,0.19,,0.71,0.78,0.57,,0.9,,,,0.8,,,,0.85,0.73,,,
LRRN3,,,0.8,,0.35,,,0.5,0.7,,0.9,,,,0.9,0.75,,,0.6,,,,
LRRN4,,,0.0,,0.87,,,,0.8,,0.9,,,,0.7,,,,0.5,,,,
LRRN4CL,,,0.0,,0.5,,,,0.8,,0.9,,,,0.8,0.6,,0.7,0.5,,,,
LRRTM1,,,,,,,,,,,,1.0,,,,,,,,,,,
LRRTM2,,,,,,,,,,,,0.8,,,,,,,,,,,
LRRTM3,,,,0.98,0.1,,,,0.8,,0.6,,,,0.9,0.8,,0.75,0.58,0.88,,,
LRRTM4,,,0.4,,,,0.5,0.8,,,,,0.7,,,0.7,0.8,,,,0.9,,
LRSAM1,0.8,,0.0,,,,,,,,,,0.9,,0.75,,0.85,,0.5,,,,
LRTM1,,,0.0,,0.7,,,,0.6,,0.9,,,,0.75,0.78,,,0.8,,,,
LRTM2,,,,0.88,0.09,,,0.7,0.6,,0.58,,,,0.9,,,,0.74,,,,
LRTOMT,0.8,,0.0,,0.66,,,,0.7,,,,0.9,,,0.7,,,0.5,,1.0,,
LRWD1,0.6,,0.0,,0.92,,,,0.7,,0.9,,,,0.7,,,,0.8,1.0,,,
LSAMP,,,,0.9,,,0.5,,,,,,0.8,,0.8,,,,0.6,,0.9,,
LSG1,,,0.0,,0.64,,,,0.8,,0.9,,,,0.6,,0.8,,0.5,,,,
LSM1,,,0.01,,0.54,,0.1,,0.8,,0.9,,,,0.8,0.6,,,0.5,,,0.6,0.5
LSM10,,,0.0,,,,,,,,,,0.8,,0.7,0.6,,,,,,,
LSM11,,,,0.61,0.17,,,,0.6,,0.8,,,,0.5,,0.75,,0.5,0.76,,,
LSM12,,,,0.97,0.0,,,,0.8,,0.74,,,,0.7,0.75,,,0.195,,,0.52,
LSM14A,,,0.14,,0.26,,,,0.67,,0.92,,,,0.75,0.65,,,0.46,,,0.52,
LSM14B,,,,1.0,0.9,,,0.4,0.5,,0.7,,,,0.9,,,,0.6,,,0.6,
LSM2,,,0.0,,,,,,,,,,0.9,,0.7,0.6,0.8,,,,,,
LSM3,,,0.0,,0.98,,,0.85,0.8,,0.9,,,,0.8,,,,0.5,,,0.6,
LSM4,,,,,,,,,,,,,,,,,,,,,,,
LSM5,,,0.8,,0.6,,,0.8,0.7,,0.9,,,,0.8,,,,0.5,,,0.6,
LSM6,,,,,,,,,,,,,,,,,,,,,,,
LSM7,,,,0.77,0.0,,,0.85,0.87,,1.0,,,,0.8,0.75,,,0.1,,,0.52,
LSM8,,,,,,,,,,,,,,,,,,,,,,,
LSMEM1,,,0.0,,0.5,,,,0.7,,0.8,,,,0.9,0.6,,,0.5,,,,
LSMEM2,,,0.0,,0.5,0.0,,0.7,0.6,,0.8,,,,0.7,0.6,,,0.5,,,,
LSP1,,,0.0,,0.56,,0.9,0.6,0.7,,0.8,,,,0.7,0.7,,,0.5,0.94,,,
LSR,,1.0,0.0,,,,0.1,0.7,0.8,,,,0.9,,0.6,,,,,,0.81,,
LSS,,,,,,,,,,,,0.8,,0.7,,,,,,,,,
LST1,,,0.0,,,,0.8,,0.7,,,,0.9,,0.75,,,,,,,,
LTA,,,,0.56,0.15,,0.75,0.5,0.7,0.6,0.85,,,,0.75,,,,0.75,1.0,,,
LTA4H,,,0.0,,0.5,,,,0.76,0.83,0.91,,,,0.67,,,0.8,0.61,0.65,,,
LTB,,,0.0,,0.5,,,0.4,0.6,0.7,0.8,,,,0.7,,,,0.6,1.0,,,
LTB4R,,,0.12,,0.39,,,,0.85,0.9,0.8,,,,0.9,,,,0.7,0.95,,,
LTB4R2,,,,,,,,,,,,,,,,,,,,,,,
LTBP1,,0.9,0.0,,0.35,,0.7,,0.5,,0.6,,,,0.7,,,0.8,0.4,0.97,,,
LTBP2,,1.0,0.0,,0.26,,0.8,,0.7,,0.9,,,,0.8,,,0.8,0.5,0.96,,,
LTBP3,0.8,,,0.92,0.2,,,,,,,,0.8,,0.75,,,,0.85,,,,
LTBP4,0.8,1.0,,0.94,0.2,,,,0.7,,,,0.9,,0.8,,,0.8,0.5,0.87,,,
LTBR,,,0.29,,0.24,,0.11,0.75,0.8,,0.61,,,,0.75,,,,0.87,0.7,,,
LTC4S,,,0.0,,0.84,,,,0.8,0.75,0.9,,,,0.9,,,,0.5,,,0.0,
LTF,,,0.0,,0.9,,0.9,0.2,0.8,,0.9,,,,,,,,0.7,1.0,,,
LTK,,,0.0,,0.92,,,,0.6,0.5,0.9,,,,0.8,,,,0.7,,,,
LTN1,,0.9,0.8,,,,0.7,,0.75,,,,0.85,,0.9,0.8,,,,,0.6,,
LTV1,0.8,,0.0,,,,,,,,,,0.9,,0.5,0.7,,,,,,,
LUC7L,,,,0.52,0.21,,0.6,0.75,0.8,,0.88,,,,0.9,,,0.5,0.37,0.65,,,
LUC7L2,,,0.0,,0.37,,,0.8,0.7,,0.9,,,,0.8,,0.7,,0.5,,,0.56,0.6
LUC7L3,,,,1.0,0.0,,,,0.6,,0.8,,,,0.9,,0.85,,0.7,0.75,,,0.7
LUM,,,0.2,,,,0.5,0.6,0.7,,,,0.9,,0.8,,,,,0.85,,,
LURAP1,,,0.9,,0.6,,,,0.6,,0.7,,,,,,,,0.5,0.9,,,
LURAP1L,,,0.9,,0.6,,,0.6,0.7,,0.8,,,,,,,,0.5,,,,
LUZP1,,,0.35,,0.23,,0.4,,0.73,,0.85,,,,0.5,0.65,0.8,,,,,0.57,
LUZP2,0.8,,0.0,,,,0.8,,,,,,0.9,,0.7,,,,,,0.9,,
LUZP4,,,0.0,,0.5,,,,0.7,,0.9,,,,,,,,0.6,,,,
LUZP6,,,0.0,,0.0,,,,0.6,,,,0.7,,,,,,0.1,,,1.0,
LVRN,,,0.0,,0.0,,,,0.5,0.6,0.7,,,,0.8,,,,0.8,,,,
LXN,,,,,,,,,,,,,,,,,,,,,,,
LY6D,,,0.02,,,,,0.5,0.67,,0.78,,,,0.8,,,,0.64,0.97,,,
LY6E,,,,,,,,,,,,1.0,,0.7,,,,,,,,,
LY6G5B,,,0.0,,0.93,,,,0.7,,0.9,,,,0.9,,,,0.8,,,,
LY6G5C,,,0.34,,0.23,,,,0.5,,0.9,,,,0.8,,,,0.5,0.92,,,
LY6G6C,,,0.0,,0.97,,,,0.8,,0.85,,,,0.8,,,,0.75,1.0,,,
LY6G6D,,,0.03,,0.49,,,0.4,0.8,,0.92,,,,0.8,,,,0.99,,,,
LY6G6F,,,0.0,,0.78,,,,0.7,,0.9,,,,0.8,,,,0.5,,,,
LY6H,,,0.18,,0.31,,,,0.9,,0.88,,,,0.75,0.78,,,0.14,0.94,,,
LY6K,,,0.9,,0.7,,,,0.6,,0.8,,,,0.75,,,0.7,0.5,0.97,,,
LY6L,,,0.0,,0.0,,,,,,,,,,0.9,0.5,,,0.5,1.0,,,
LY75,,,,,,,,,,,,0.9,,0.6,,,,,,,,,
LY86,,,,,,,,,,,,0.9,,,,,,,,,,,
LY9,,,0.0,,,,0.8,,,,,,0.9,,0.75,0.8,,,,,,,
LY96,,,0.0,,0.83,,0.5,,0.85,0.75,0.9,,,,0.8,0.75,,0.8,0.5,0.86,,,
LYAR,,,0.0,,0.67,,,,0.8,,0.9,,,,0.6,0.7,,,0.5,0.99,,,
LYG1,,,0.0,,0.75,,,,0.6,,0.9,,,,0.85,,,,0.5,,,,
LYG2,,,0.0,,0.7,,,0.7,0.6,,0.9,,,,0.8,,,,0.5,,,,
LYL1,,,,0.77,0.0,,0.5,,0.6,,0.8,,,,,,,0.9,0.5,0.94,,,
LYN,,,,1.0,0.93,0.85,0.8,0.6,0.8,0.9,0.95,,,,,0.88,,0.9,,,0.97,,
LYNX1,,,0.03,,0.52,,,,0.9,,,,,,0.8,0.75,,,0.116,,,,0.7
LYPD1,,,0.0,,0.9,,,0.6,0.7,,0.8,,,,0.8,,,,0.5,0.88,,,
LYPD2,,,0.26,,0.29,,,0.75,0.75,,0.84,,,,0.5,,,,0.75,,,,
LYPD3,,,0.0,,0.7,0.6,,0.9,0.7,,0.8,,,,0.8,0.75,,,0.5,,,,
LYPD4,,,0.0,,0.95,,,0.67,0.5,,,,0.84,,0.9,,,,0.5,,,0.0,
LYPD5,,,0.0,,0.71,,0.1,0.2,0.7,,0.9,,,,0.6,,,,0.5,1.0,,,
LYPD6,,,0.0,,0.84,,,0.8,0.9,,0.7,,,,0.8,,,,0.5,,,,
LYPD6B,,,0.0,,0.58,,,0.7,0.85,,0.95,,,,0.9,,,,0.5,1.0,,,
LYPD8,,,1.0,,1.0,,,,0.7,,,,,,0.8,,,,0.5,,,0.0,
LYPLA1,,,,,,,,,,,,0.9,,0.7,,,,,,,,,
LYPLA2,,,,0.95,0.07,,,,0.75,,0.8,,,,0.8,0.78,,,0.65,,,,0.5
LYPLAL1,,,0.0,,0.8,,0.9,,0.7,,0.8,,,,0.7,,,,0.5,,,0.5,
LYRM1,,,0.0,,0.5,,,,0.9,,0.8,,,,0.7,,,,0.6,,,0.6,
LYRM2,,,0.0,,0.5,,,0.6,0.8,,0.9,,,,0.7,,,,0.1,,,0.5,
LYRM4,,,,,,,,,,,,,,0.6,,,,,,,,,
LYRM7,0.7,,0.8,,,,,0.6,,,,,0.9,,0.8,0.75,0.9,,,,,,
LYRM9,,,0.9,,0.7,,0.8,,0.6,,0.7,,,,,,,,0.5,,,,
LYSMD1,,,0.98,,0.54,0.68,,,0.6,,0.84,,,,0.8,0.65,,,0.45,,,0.54,
LYSMD2,,,0.42,,0.19,,,,0.7,,0.8,,,,0.9,,,,0.5,,,,
LYSMD3,,,0.28,,0.24,,,,0.8,,0.93,,,,0.75,0.7,,,0.61,,,0.59,
LYSMD4,,,0.0,,0.71,,,,0.7,,0.85,,,,0.8,0.75,,,0.85,,,,
LYST,,,,0.56,0.22,,0.75,,0.7,,0.9,,,,0.6,0.75,,,0.8,0.7,,,
LYVE1,,,0.0,,0.81,,,0.2,0.8,,0.9,,,,0.8,,,0.7,0.5,0.89,,,
LYZ,0.7,,0.0,,,,0.8,,,,,,0.9,,0.75,,,,,,1.0,,
LYZL1,,,0.0,,,,0.8,0.6,0.7,,,,0.9,,0.9,,,,,,1.0,,
LYZL2,,,0.0,,0.5,,,0.9,0.5,,0.8,,,,0.7,0.6,,,0.6,1.0,,,
LYZL4,,,0.48,,0.17,0.53,,,0.5,,0.78,,,,0.8,,,,0.73,1.0,,,
LYZL6,,,0.0,,0.85,,,,0.7,,0.9,,,,0.8,,,,0.5,,,0.0,
LZIC,,,0.0,,0.61,0.49,,0.6,0.75,,0.85,,,,0.9,0.7,,,0.95,,,,
LZTFL1,0.8,,0.07,,0.29,,,0.6,0.7,,0.9,,,,0.9,,,,0.75,0.63,,,
LZTR1,0.8,,0.0,,0.2,,,0.6,0.7,,0.9,,,,0.8,,,,0.5,,,0.6,
LZTS1,0.8,,,0.95,0.11,,,,0.7,,0.9,,,,0.75,,,,0.5,0.88,,,
LZTS2,,,,,,,,,,,,0.8,,,,,,,,,,,
LZTS3,,,,1.0,0.95,,,,0.6,,0.8,,,,0.75,,,,0.7,0.94,,,
M1AP,0.8,,0.0,,0.5,,,,0.6,,,,0.9,,0.7,0.65,0.8,,0.7,,0.95,,
M6PR,,1.0,0.03,,0.35,,,,0.6,0.4,0.8,,,,0.6,,,,0.5,,,,
MAB21L1,0.8,,0.22,,0.27,,,0.7,0.6,,,,0.9,,0.5,,,,0.5,1.0,,,
MAB21L2,,1.0,0.44,,0.21,,,0.7,0.6,,,,0.9,,,,,,,1.0,,,
MAB21L3,,,0.0,,0.66,,,,0.7,,0.9,,,,,0.6,,,0.5,,,,
MACC1,,,0.0,,0.94,,0.5,0.6,0.8,,0.9,,,,,,,0.7,0.85,0.94,,,
MACF1,,,,,,,,,,,,0.9,,,,,,,,,,,
MACO1,,,0.0,,0.0,,,,0.7,,0.9,,,,0.8,,,,0.8,,,0.6,
MACROD1,,,,,,,,,,,,,,,,,,,,,,,
MACROD2,,,0.38,,0.22,,0.8,,0.9,,0.95,,,,0.75,,0.85,,0.89,0.77,,,
MAD1L1,,,0.0,,,,0.9,,0.6,,,,0.7,,0.7,,,,,,,0.5,
MAD2L1,,,,,,,,,,,,,,,,,,,,,,,
MAD2L1BP,,,0.0,,0.88,,,,0.75,,0.95,,,,0.8,,,,0.54,,,0.54,
MAD2L2,,,,,,,,,,,,,,,,,,,,,,,
MADCAM1,,,0.49,,0.17,,,0.3,0.93,0.4,0.54,,,,0.5,,,,0.76,,,,
MADD,,1.0,0.0,,0.44,,0.7,,0.85,,0.9,,,,,0.85,,,,0.91,,,
MAEA,,1.0,,0.64,0.19,,0.6,,0.7,,0.8,,,,0.7,0.75,,,,,,0.5,
MAEL,,,0.0,,0.36,,,0.4,0.6,,0.7,,,,,0.65,,,0.5,1.0,,,
MAF,,1.0,,0.75,0.11,,0.8,,0.7,,0.9,,,,0.8,0.75,,,,0.85,,,
MAF1,,,,0.95,0.07,,,0.8,0.87,,0.89,,,,0.8,0.8,,,0.64,,,0.59,
MAFA,0.8,,0.0,,,,,,,,,,0.9,,0.6,,,,,,1.0,,
MAFB,0.5,1.0,,0.9,0.0,,,,0.8,,,,0.95,,0.7,,,,,0.95,,,
MAFF,,,0.8,,0.66,,,0.6,0.7,,0.9,,,,0.8,0.7,,,0.5,0.8,,,
MAFG,,1.0,,0.73,0.0,,,0.1,0.7,,0.9,,,,0.8,0.75,,,0.5,,,0.5,
MAFIP,,,1.0,,1.0,,,,0.5,,,,,,,,,,0.5,,,0.0,0.5
MAFK,,,,0.72,0.0,,,0.1,0.8,,0.9,,,,0.8,,,,0.5,0.81,,,
MAG,,,,,,,,,,,,0.8,,,,,,,,,,,
MAGEA1,,,0.0,,0.0,,,0.7,0.8,,0.9,,,,0.9,,,,0.5,1.0,,,
MAGEA10,,,0.0,,0.0,,,0.7,0.6,,0.9,,,,,0.75,,,0.7,,,,0.5
MAGEA11,,,,0.7,0.0,,,,0.8,,0.9,,,,0.8,,,,0.85,,,,
MAGEA12,,,0.0,,0.0,,,,0.7,0.6,0.9,,,,0.7,,,,0.5,1.0,,,0.5
MAGEA13P,,,0.0,,0.0,,,,,,,,,,,0.4,,,0.5,,,1.0,
MAGEA2,,,1.0,,1.0,0.0,,,0.6,,0.8,,,,,,,,0.5,1.0,,,
MAGEA3,,,0.0,,0.0,,,,0.7,0.6,0.9,,,,0.8,,,,0.5,,,,
MAGEA4,0.6,,1.0,,1.0,,,0.7,0.8,,0.9,,,,0.8,0.7,,,0.5,,,,
MAGEA6,0.8,,0.0,,0.0,,,,0.6,,0.8,,,,0.7,,,,0.7,,,,
MAGEA8,,,1.0,,1.0,,,,0.7,,0.9,,,,0.9,0.7,,,0.5,,,,
MAGEA9B,,,0.0,,0.0,,,,0.6,,0.8,,,,,,,,0.5,1.0,,,
MAGEB1,,,1.0,,1.0,,,,0.7,,0.9,,,,0.9,,,,0.6,,,,0.5
MAGEB10,,,0.0,,0.0,,,0.85,0.8,,0.9,,,,0.6,0.7,,,0.7,1.0,,,
MAGEB16,,,0.37,,0.0,,,,0.6,,0.8,,,,,,,,0.5,,,,
MAGEB17,,,0.0,,0.0,,,,0.5,,0.6,,,,,0.5,,,0.5,,,,
MAGEB18,,,0.0,,0.5,0.3,,,0.7,,0.8,,,,,,,,0.6,1.0,,,
MAGEB2,,,0.0,,0.0,,,,0.7,,0.9,,,,0.9,,,,0.6,1.0,,,
MAGEB3,,,0.44,,0.0,,,0.1,0.5,,0.95,,,,0.6,,,,0.69,1.0,,,
MAGEB4,,,0.0,,0.0,,,0.5,0.6,,0.7,,,,,0.6,,,0.8,1.0,,,
MAGEB5,,,0.0,,0.0,,,,,,0.8,,,,,,,,0.5,,,,
MAGEB6,,,0.0,,0.0,,,,0.6,,0.68,,,,,0.5,,,0.5,,,,
MAGEC1,,,0.0,,0.0,,,,0.7,,1.0,,,,0.8,0.7,,,1.0,,,,
MAGEC2,,,0.0,,0.0,0.8,0.7,,0.6,,0.9,,,,0.7,,,,0.5,1.0,,,
MAGEC3,,,0.0,,0.5,,,,0.6,,0.8,,,,,,,,0.7,,,,
MAGED1,,,,,,,,,,,,0.8,,0.6,,,,,,,,,
MAGED2,0.85,,,0.95,0.9,,,0.65,0.7,,0.75,,,,0.9,,,,0.6,0.8,,,0.6
MAGED4B,,,0.0,,0.0,,,,0.6,,0.7,,,,,0.4,,,0.5,,,,
MAGEE1,,,,,,,,,,,,0.8,,,,,,,,,,,
MAGEE2,,,0.0,,0.5,,0.3,0.4,0.5,,0.8,,,,0.7,,,,0.6,0.9,,,
MAGEF1,,,0.0,,0.81,,,,0.6,,0.8,,,,0.6,,,,0.5,,,0.7,
MAGEH1,,,0.24,,0.31,,,,0.8,,0.85,,,,0.9,,,,0.5,,,,
MAGEL2,,1.0,,0.98,0.1,,,,0.67,,0.86,,,,0.5,0.75,0.75,,,0.94,,,
MAGI1,,,,,,,,,,,,0.9,,0.6,,,,,,,,,
MAGI2,,1.0,,1.0,0.87,,0.6,,0.8,,0.9,,,,0.85,,,,0.5,0.77,,,
MAGI3,,,0.8,,0.7,,,,0.75,,0.85,,,,0.9,,0.9,,0.6,,,0.8,
MAGIX,,,0.0,,0.5,,,0.6,0.7,,,,,,0.9,0.5,,0.8,0.5,,,0.4,
MAGOH,,,,,,,,,,,,,,,,,,,,,,,
MAGOHB,,,0.33,,0.24,,,0.1,0.93,,0.8,,,,0.75,,,,0.74,,,0.54,
MAGT1,,,,,,,,,,,,0.8,,0.6,,,,,,,,,
